id,year,state_name,state_code,marital_status,gender,number_of_deaths
266,2018,Jammu And Kashmir,1,Status Not Known,Transgender,0
267,2018,Jammu And Kashmir,1,Un-Married,Female,90
268,2018,Jammu And Kashmir,1,Un-Married,Male,62
269,2018,Jammu And Kashmir,1,Un-Married,Transgender,0
270,2018,Jammu And Kashmir,1,Widowed/Widower,Female,0
271,2018,Jammu And Kashmir,1,Widowed/Widower,Male,0
272,2018,Jammu And Kashmir,1,Widowed/Widower,Transgender,0
273,2018,Jharkhand,20,Divorcee,Female,7
274,2018,Jharkhand,20,Divorcee,Male,13
275,2018,Jharkhand,20,Divorcee,Transgender,0
276,2018,Jharkhand,20,Married,Female,237
277,2018,Jharkhand,20,Married,Male,499
278,2018,Jharkhand,20,Married,Transgender,0
279,2018,Jharkhand,20,Others,Female,1
280,2018,Jharkhand,20,Others,Male,7
281,2018,Jharkhand,20,Others,Transgender,0
282,2018,Jharkhand,20,Separated,Female,2
283,2018,Jharkhand,20,Separated,Male,8
284,2018,Jharkhand,20,Separated,Transgender,0
285,2018,Jharkhand,20,Status Not Known,Female,3
286,2018,Jharkhand,20,Status Not Known,Male,10
287,2018,Jharkhand,20,Status Not Known,Transgender,0
288,2018,Jharkhand,20,Un-Married,Female,149
289,2018,Jharkhand,20,Un-Married,Male,351
290,2018,Jharkhand,20,Un-Married,Transgender,0
291,2018,Jharkhand,20,Widowed/Widower,Female,9
292,2018,Jharkhand,20,Widowed/Widower,Male,21
293,2018,Jharkhand,20,Widowed/Widower,Transgender,0
294,2018,Karnataka,29,Divorcee,Female,21
295,2018,Karnataka,29,Divorcee,Male,24
296,2018,Karnataka,29,Divorcee,Transgender,0
297,2018,Karnataka,29,Married,Female,2272
298,2018,Karnataka,29,Married,Male,6348
299,2018,Karnataka,29,Married,Transgender,0
300,2018,Karnataka,29,Others,Female,33
301,2018,Karnataka,29,Others,Male,81
302,2018,Karnataka,29,Others,Transgender,0
303,2018,Karnataka,29,Separated,Female,4
304,2018,Karnataka,29,Separated,Male,19
305,2018,Karnataka,29,Separated,Transgender,0
306,2018,Karnataka,29,Status Not Known,Female,43
307,2018,Karnataka,29,Status Not Known,Male,99
308,2018,Karnataka,29,Status Not Known,Transgender,0
309,2018,Karnataka,29,Un-Married,Female,693
310,2018,Karnataka,29,Un-Married,Male,1753
311,2018,Karnataka,29,Un-Married,Transgender,3
312,2018,Karnataka,29,Widowed/Widower,Female,77
313,2018,Karnataka,29,Widowed/Widower,Male,91
314,2018,Karnataka,29,Widowed/Widower,Transgender,0
315,2018,Kerala,32,Divorcee,Female,45
316,2018,Kerala,32,Divorcee,Male,74
317,2018,Kerala,32,Divorcee,Transgender,0
318,2018,Kerala,32,Married,Female,1366
319,2018,Kerala,32,Married,Male,5100
320,2018,Kerala,32,Married,Transgender,0
321,2018,Kerala,32,Others,Female,22
322,2018,Kerala,32,Others,Male,44
323,2018,Kerala,32,Others,Transgender,0
324,2018,Kerala,32,Separated,Female,21
325,2018,Kerala,32,Separated,Male,83
326,2018,Kerala,32,Separated,Transgender,0
327,2018,Kerala,32,Status Not Known,Female,0
328,2018,Kerala,32,Status Not Known,Male,10
329,2018,Kerala,32,Status Not Known,Transgender,0
330,2018,Kerala,32,Un-Married,Female,355
331,2018,Kerala,32,Un-Married,Male,947
332,2018,Kerala,32,Un-Married,Transgender,0
333,2018,Kerala,32,Widowed/Widower,Female,64
334,2018,Kerala,32,Widowed/Widower,Male,106
335,2018,Kerala,32,Widowed/Widower,Transgender,0
336,2018,Lakshadweep,31,Divorcee,Female,0
337,2018,Lakshadweep,31,Divorcee,Male,0
338,2018,Lakshadweep,31,Divorcee,Transgender,0
339,2018,Lakshadweep,31,Married,Female,0
340,2018,Lakshadweep,31,Married,Male,1
341,2018,Lakshadweep,31,Married,Transgender,0
342,2018,Lakshadweep,31,Others,Female,0
343,2018,Lakshadweep,31,Others,Male,0
344,2018,Lakshadweep,31,Others,Transgender,0
345,2018,Lakshadweep,31,Separated,Female,0
346,2018,Lakshadweep,31,Separated,Male,0
347,2018,Lakshadweep,31,Separated,Transgender,0
348,2018,Lakshadweep,31,Status Not Known,Female,0
